,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
108,WA001,,,Order,102,120,310002,232487-1-3-115,41336,14.999909280595118,2025-09-12 00:00:00,WA001,9999A
109,WA001,,,Order,102,120,310002,232487-1-4-116,41336,14.999909280595118,2025-09-01 00:00:00,WA001,9999A
110,ID002,WA001,,Order,102,120,310015,232501-1-6-121,41336,14.999909280595118,2025-05-31 00:00:00,ID010,9999E
111,ID002,WA001,,Order,102,120,310015,232501-1-6-122,41336,14.999909280595118,2025-05-31 00:00:00,ID010,9999E
112,ID002,WA001,,Order,102,120,310015,232501-1-6-123,41336,14.999909280595118,2025-05-31 00:00:00,ID010,9999E
113,ID002,WA001,,Order,102,120,310015,232501-1-6-124,55,0.0199582690737548,2025-05-31 00:00:00,ID010,9999E
114,ID002,WA001,,Order,102,120,310015,232501-1-6-124,41281,14.979951011521363,2025-05-31 00:00:00,ID010,9999E
115,ID002,WA001,,Order,101,120,310015,232501-1-7-125,41336,14.999909280595118,2025-07-02 00:00:00,ID010,9999E
116,ID002,WA001,,Order,101,120,310015,232501-1-7-126,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999E
117,ID002,WA001,,Order,101,120,310015,232501-1-7-127,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999E
118,ID002,WA001,,Order,101,120,310015,232501-1-7-128,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999E
119,ID002,WA001,,Order,101,120,310015,232501-1-8-129,41336,14.999909280595118,2025-08-02 00:00:00,ID010,9999E
120,ID002,WA001,,Order,101,120,310015,232501-1-8-130,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999E
121,ID002,WA001,,Order,101,120,310015,232501-1-8-131,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999E
122,ID002,WA001,,Order,101,120,310015,232501-1-8-132,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999E
123,ID002,WA001,,Order,101,120,310015,232501-1-9-133,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E
124,ID002,WA001,,Order,101,120,310015,232501-1-9-134,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E
125,ID002,WA001,,Order,101,120,310015,232501-1-9-135,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E
126,ID002,WA001,,Order,101,120,310015,232501-1-9-136,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E
127,ID002,,,Order,101,120,310768,232513-1-3-115,44000,20.0,2025-08-10 00:00:00,ID002,3200A
128,ID002,,,Order,101,120,310768,232513-1-5-113,44000,20.0,2025-06-03 00:00:00,ID010,3200A
129,ID002,,,Order,101,120,310768,232513-1-5-114,44000,20.0,2025-06-03 00:00:00,ID010,9999A
130,ID002,,,Order,101,120,310768,232513-1-6-117,44000,20.0,2025-09-14 00:00:00,ID002,3200A
131,ID002,,,Order,101,120,310768,232513-1-9-116,44000,20.0,2025-08-10 00:00:00,ID002,3200A
132,ID002,WA001,,Order,102,120,310015,232630-1-2-108,661,0.2398621065045813,2025-06-28 00:00:00,TX001,9999E
133,ID002,WA001,,Order,102,120,310015,232630-1-2-108,57209,20.759865735280776,2025-06-28 00:00:00,TX001,9999E
134,ID002,WA001,,Order,102,120,310015,232630-1-2-109,165,0.0598748072212646,2025-06-28 00:00:00,TX001,9999E
135,ID002,WA001,,Order,102,120,310015,232630-1-2-109,57705,20.93985303456409,2025-06-28 00:00:00,TX001,9999E
136,ID002,WA001,,Order,102,120,310015,232630-1-2-110,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999E
