ALLOCATED_ORDER_NUM,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,Sum of Sum of Inventory Pallets,Min of W_INSERT_DT,,,ALLOCATED_ORDER_NUM,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,Sum of Sum of Inventory Pallets,Min of W_INSERT_DT
1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,1,5/20/2025,,,1453454,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,1,45797
1453454,ID010,310015,ID002,101,3132A,12,8,5/14/2025,,,1453454,ID010,310015,ID002,101,3132A,12,8,45791
1453454,ID010,310015,ID002,101,3132A,13,8,5/15/2025,,,1453454,ID010,310015,ID002,101,3132A,13,8,45792
1453454,ID010,310015,ID002,101,3132A,14,8,5/16/2025,,,1453454,ID010,310015,ID002,101,3132A,14,8,45793
1453454,ID010,310015,ID002,101,3132A,15,8,5/17/2025,,,1453454,ID010,310015,ID002,101,3132A,15,8,45794
1453454,ID010,310015,ID002,101,3132A,16,8,5/18/2025,,,1453454,ID010,310015,ID002,101,3132A,16,8,45795
1453454,ID010,310015,ID002,101,3132A,17,8,5/19/2025,,,1453454,ID010,310015,ID002,101,3132A,17,8,45796
1453454,ID010,310015,ID002,101,3132A,18,8,5/20/2025,,,1453454,ID010,310015,ID002,101,3132A,18,8,45797
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,2,5/15/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,11,2,45792
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,28,5/15/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,12,28,45792
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,28,5/16/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,13,28,45793
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,28,5/17/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,14,28,45794
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,15,28,5/18/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,15,28,45795
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,16,28,5/19/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,16,28,45796
1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,17,26,5/20/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,17,26,45797
1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,32,5/15/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,12,32,45792
1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,32,5/16/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,13,32,45793
1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,32,5/17/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,32,45794
1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,32,5/18/2025,,,1453532,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,32,45795
