WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,Sum of AGE,LOT_NO,SUBLOT_NO,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996433,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996434,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996465,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996467,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996481,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996482,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996496,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996497,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996502,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512217,300996503,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996645,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996646,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996663,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996664,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996678,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996683,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996719,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512302,300996720,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996956,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996957,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996963,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996964,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996968,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996969,1,"",
