Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
84,440.92,0,310015,1052506901,101,ID002,3117A-3123A-9999A-9999E,MEX002,300921292,
84,1653.45,1,310015,1052506903,101,ID002,9999A-9999E,ID010,300923233,
85,110.23,0,310015,1052506801,101,ID002,3117A-3123A-9999A,MEX002,300920313,
85,55.115,0,310015,1052506802,101,ID002,3117A-3123A-9999A,MEX002,300920349,
85,55.115,0,310015,1052506806,101,ID002,3117A-3123A-9999A-9999E,MEX002,300920970,
85,220.46,0,310015,1052506808,101,ID002,3117A-3123A-9999A-9999E,MEX002,300921121,
85,992.07,0,310015,1052506809,101,ID002,3117A-3123A-9999A-9999E,MEX002,300921162,
85,551.15,0,310015,1052506810,101,ID002,3117A-3123A-9999A-9999E,MEX002,300921221,
85,55.115,0,310726,1022506854,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300921104,
86,771.61,0,310015,1052506701,101,ID002,3117A-3123A-9999A,MEX002,300918930,
86,275.575,0,310015,1052506702,101,ID002,3117A-3123A-9999A,MEX002,300918983,
86,165.345,0,310015,1052506703,101,ID002,3117A-3123A-9999A,MEX002,300919112,
86,275.575,0,310015,1052506704,101,ID002,3117A-3123A-9999A,MEX002,300919257,
86,110.23,0,310015,1052506705,101,ID002,3117A-3123A-9999A,MEX002,300919283,
86,165.345,0,310015,1052506706,101,ID002,3117A-3123A-9999A,MEX002,300919328,
86,606.265,0,310015,1052506707,101,ID002,3117A-3123A-9999A,MEX002,300919398,
86,220.46,0,310015,1052506714,101,ID002,3117A-9999A,MEX002,300920055,
86,496.035,0,310015,1052506715,101,ID002,3117A-9999A,MEX002,300920145,
86,496.035,0,310015,1052506716,101,ID002,3117A-3123A-9999A,MEX002,300920195,
86,661.38,0,310015,1052506717,101,ID002,3117A-3123A-9999A,MEX002,300920262,
87,55.115,0,310015,1052506611,101,ID002,3117A-3123A-9999A-9999E,MEX002,300918731,
87,275.575,0,310015,1052506612,101,ID002,3117A-3123A-9999A-9999E,MEX002,300918786,
87,385.805,0,310015,1052506613,101,ID002,3117A-3123A-9999A-9999E,MEX002,300918859,
88,1322.76,0,310015,1022506560,101,WA003,3117S-3123A-9999A-9999E,WA010,300918446,
88,2590.405,1,310015,1022506561,101,WA003,3117S-3123A-9999A-9999E,WA010,300918451,
88,220.46,0,310015,1052506501,101,ID002,3117A-3123A-9999A,MEX002,300916198,
88,440.92,0,310015,1052506502,101,ID002,3117A-3123A-9999A,MEX002,300916213,
88,55.115,0,310015,1052506503,101,ID002,3117A-3123A-9999A,MEX002,300916299,
88,55.115,0,310015,1052506504,101,ID002,3117A-3123A-9999A,MEX002,300916386,
88,165.345,0,310015,1052506505,101,ID002,3117A-3123A-9999A,MEX002,300916480,
88,275.575,0,310015,1052506506,101,ID002,3117A-3123A-9999A,MEX002,300916494,
88,330.69,0,310015,1052506507,101,ID002,3117A-3123A-9999A,MEX002,300916650,
88,220.46,0,310015,1052506508,101,ID002,3117A-3123A-9999A,MEX002,300916741,
88,55.115,0,310015,1052506508,101,ID002,3117A-3123A-9999A,MEX002,300916758,
88,606.265,0,310015,1052506509,101,ID002,3117A-3123A-9999A,MEX002,300916854,
88,440.92,0,310015,1052506510,101,ID002,3117A-3123A-9999A,MEX002,300916937,
88,385.805,0,310015,1052506511,101,ID002,3117A-3123A-9999A,MEX002,300916987,
88,330.69,0,310015,1052506512,101,ID002,3117A-3123A-9999A,MEX002,300917140,
88,716.495,0,310015,1052506513,101,ID002,3117A-3123A-9999A,MEX002,300917231,
88,2314.83,1,310015,1052506514,101,ID002,3117A-3123A-9999A,MEX002,300917332,
88,220.46,0,310015,1052506515,101,ID002,3117A-3123A-9999A,MEX002,300917390,
88,551.15,0,310015,1052506515,101,ID002,3117A-3123A-9999A,MEX002,300917391,
89,440.92,0,310015,1052506414,101,ID002,3117A-3123A-9999A-9999E,MEX002,300916122,
91,2755.75,1,310015,1012506206,101,WA002,3117A-3123A-9999A-9999E,WA018,300912310,
