AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029146,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029147,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029192,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029193,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029194,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029195,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029212,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029213,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029252,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029253,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
