,LOT_NO,SUBLOT_NO,join_col
432,1002511006,300979594,WA001310015WA0011019999A-9999E17
433,1002511006,300979595,WA001310015WA0011019999A-9999E17
434,1002511006,300979596,WA001310015WA0011019999A-9999E17
435,1002511006,300979754,WA001310015WA0011019999A-9999E17
436,1002511006,300979765,WA001310015WA0011019999A-9999E17
437,1002511101,300980172,WA001310015WA0011019999A-9999E16
438,1002511101,300980173,WA001310015WA0011019999A-9999E16
439,1002511101,300980174,WA001310015WA0011019999A-9999E16
440,1002511101,300980175,WA001310015WA0011019999A-9999E16
441,1002511101,300980217,WA001310015WA0011019999A-9999E16
442,1002511101,300980218,WA001310015WA0011019999A-9999E16
443,1002511101,300980219,WA001310015WA0011019999A-9999E16
444,1002511101,300980220,WA001310015WA0011019999A-9999E16
445,1002511102,300980257,WA001310015WA0011019999A-9999E16
446,1002511102,300980276,WA001310015WA0011019999A-9999E16
447,1002511102,300980277,WA001310015WA0011019999A-9999E16
448,1002511102,300980301,WA001310015WA0011019999A-9999E16
449,1002511102,300980315,WA001310015WA0011019999A-9999E16
450,1002511102,300980335,WA001310015WA0011019999A-9999E16
451,1002511102,300980380,WA001310015WA0011019999A-9999E16
452,1002511201,300981571,WA001310015WA0011013117A-3123A-9999A-9999E15
453,1002511201,300981637,WA001310015WA0011013117A-3123A-9999A-9999E15
454,1002511201,300981638,WA001310015WA0011013117A-3123A-9999A-9999E15
455,1002511201,300981639,WA001310015WA0011013117A-3123A-9999A-9999E15
456,1002511201,300981662,WA001310015WA0011013117A-3123A-9999A-9999E15
457,1002511201,300981664,WA001310015WA0011013117A-3123A-9999A-9999E15
458,1002511201,300981665,WA001310015WA0011013117A-3123A-9999A-9999E15
459,1002511201,300981667,WA001310015WA0011013117A-3123A-9999A-9999E15
460,1002511202,300981747,WA001310015WA0011013117A-3123A-9999A-9999E15
461,1002511202,300981748,WA001310015WA0011013117A-3123A-9999A-9999E15
462,1002511202,300981749,WA001310015WA0011013117A-3123A-9999A-9999E15
463,1002511202,300981759,WA001310015WA0011013117A-3123A-9999A-9999E15
464,1002511202,300981760,WA001310015WA0011013117A-3123A-9999A-9999E15
465,1002511202,300981774,WA001310015WA0011013117A-3123A-9999A-9999E15
466,1002511202,300981787,WA001310015WA0011013117A-3123A-9999A-9999E15
467,1002511202,300981788,WA001310015WA0011013117A-3123A-9999A-9999E15
468,1002511203,300981858,WA001310015WA0011013117A-3123A-9999A-9999E15
469,1002511203,300981859,WA001310015WA0011013117A-3123A-9999A-9999E15
470,1002511203,300981860,WA001310015WA0011013117A-3123A-9999A-9999E15
471,1002511203,300981861,WA001310015WA0011013117A-3123A-9999A-9999E15
472,1002511203,300981983,WA001310015WA0011013117A-3123A-9999A-9999E15
473,1002511203,300981984,WA001310015WA0011013117A-3123A-9999A-9999E15
474,1002511203,300981985,WA001310015WA0011013117A-3123A-9999A-9999E15
475,1002511203,300981986,WA001310015WA0011013117A-3123A-9999A-9999E15
476,1002511204,300982048,WA001310015WA0011013117A-3123A-9999A-9999E15
477,1002511204,300982049,WA001310015WA0011013117A-3123A-9999A-9999E15
